ID,Offer_Name,Incentives,Validity,Time_Duration,Recursive,ProRated,Deposit,Subscription Code,Unsubscription code,Offer Status Code,Offer info code,Description,Offer Type,Charges,Details,FAQs,CallSetUpFee
3,Har Second Offer,4 Paisa /Second (On-Net/off-net),1 day,24 hours,No,No,24 Hours,*222#,*222*4#,*222*2#,*222*3#,"<p>Call for 4 paisa/sec On-Net Off-Net Offer , to subscribe Har Second offer, dial *222#. Charge: 0.60 (Call setup Fee 13 paisa)</p> ",Prepaid,Rs. 0.60,"<table cellpadding=""10"" cellspacing=""5""> 	<tbody> 		<tr> 			<th scope=""col"">Voice-On net</th> 			<th scope=""col"">SMS</th> 			<th scope=""col"">DATA</th> 			<th scope=""col"">Video Calling</th> 			<th scope=""col"">Monetary DA</th> 		</tr> 		<tr> 			<td>Voice-Onnet</td> 			<td>SMS</td> 			<td>DATA</td> 			<td>Video Calling</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Legacy</td> 			<td>Legacy</td> 			<td>WhatsApp</td> 			<td>Video Calling Base Rate</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Champion Recharge (*405#)</td> 			<td>Champion Recharge (*405#)</td> 			<td>Champion Recharge (*405#)</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Weekly LNO Offer-*566#</td> 			<td>Ramadan BOU *401#</td> 			<td>Nimbuzz</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>MST BOR 100</td> 			<td>Loyalty Bundle 1</td> 			<td>Social Hybrid</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Ramadan BOU *401#</td> 			<td>MST Daily Hybrid Bundle *651#</td> 			<td>FB Bundle</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>IDD KSA/UAE-New *452#</td> 			<td>Loyalty Bundle 2</td> 			<td>Zero Facebook</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Any Network Offer-*239#</td> 			<td>MST Weekly Bundle *350#white</td> 			<td>3G Handset Bundle</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Loyalty Bundle 1</td> 			<td>New SIM Offer</td> 			<td>3G 10-Day bundle (Backend provisioning only)</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Weekly Staggered Bundle *407#</td> 			<td>Data BOU</td> 			<td>3G Daily Bundle 2</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>MST Daily Hybrid Bundle *651#</td> 			<td>BOR Special Load Offer</td> 			<td>3G Daily Bundle</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Loyalty Bundle 2</td> 			<td>All-in-One Daily(Har Network Offer)</td> 			<td>3G 3-Day Bundle</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Monthly Staggered Bundle *430#</td> 			<td>AJK LBC</td> 			<td>3G Weekly Bundle</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>MST Weekly Bundle *350#white</td> 			<td>Nationwide Bundle 3in1</td> 			<td>3G Monthly Bundle - Lite</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>New SIM Offer</td> 			<td>Subscribed to BOU KHI Offer</td> 			<td>3G Monthly Bundle - Heavy</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>LBC Hazaara</td> 			<td>Reactivation Upfront 551</td> 			<td>3G Monthly Hybrid Bundle</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Voice Bundle</td> 			<td>Reactivation BOU 551</td> 			<td>3G Monthly Bundle - Super</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOR 50</td> 			<td>Reactivation SMS</td> 			<td>Legacy</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>MST BOU</td> 			<td>BOU Acquisition SMS</td> 			<td>Ramadan BOU *401#</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>MST Onnet DA 306</td> 			<td>BOR (Incentive SMS)</td> 			<td>Loyalty Bundle 1</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>LBC Default (*108#)</td> 			<td>Handset Bundle</td> 			<td>MST Daily Hybrid Bundle *651#</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>LBC KPK (*291#)</td> 			<td>Nationwide Bundle</td> 			<td>Loyalty Bundle 2</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>LBC Chakwal (*260#)</td> 			<td>Hybrid Bundle 02</td> 			<td>Weekly Staggered Bundle *407#</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>LBC Karachi Daily (*221#)</td> 			<td>Bundle 09</td> 			<td>MST Weekly Bundle *350#white</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Onnet Bundle 1 (Daily Unlimited bundle)</td> 			<td>Bundle 01</td> 			<td>New SIM Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Onnet Bundle 2</td> 			<td>Bundle 06</td> 			<td>BOR Special Load</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>All-in-One Daily(Har Network Offer)</td> 			<td>Bundle 03</td> 			<td>All-in-One Daily(Har Network Offer)</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Special Load Offer</td> 			<td>Bundle 05</td> 			<td>Zero Offer Bundle</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>AJK LBC</td> 			<td>Bundle 08</td> 			<td>Gifting 3 day</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>2 Din Bundle</td> 			<td>Socia Hybrid Bundle</td> 			<td>GPRS Aug Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Loyalty Bundle 3</td> 			<td>Loyalty Bundle 3</td> 			<td>Handset Bundle</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Morning Bundle</td> 			<td>Weekly Staggered Bundle *407#</td> 			<td>GPRS LBC 14 cities</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Multan LBC</td> 			<td>Har Hafta 3</td> 			<td>Reactivation Upfront 551</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Nationwide Bundle 3 in 1</td> 			<td>Bundle 07</td> 			<td>Reactivation BOU 551</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Onnet Monthly Bundle</td> 			<td>Bundle 04</td> 			<td>Reactivation Data</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Super Sunday</td> 			<td>Loyalty Bundle 4</td> 			<td>BOR Acquisition Data</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Reactivation Upfront 551</td> 			<td>Loyalty Bundle 5</td> 			<td>GPRS LBC Guj, Ryk, Bwp</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Reactivation BOU 551</td> 			<td>Monthly Staggered Bundle *430#</td> 			<td>GPRS LBC Shkupura, Khnwaal</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Reactivation Minutes</td> 			<td>3G Monthly Hybrid Bundle</td> 			<td>Bundle 04</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOU Acquisition Minutes</td> 			<td>All-in-One Monthly (Har Network Offer 2)</td> 			<td>GPRS LBC Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOR Acquisition Minutes</td> 			<td>Bundle 02</td> 			<td>GPRS Morning Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOR Incentive Time</td> 			<td>BOU SMS Offer</td> 			<td>Hybrid Bundle 01</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Weekly Staggered</td> 			<td>Onnet Subha Shaam Offer SMS</td> 			<td>Loyalty Bundle 3</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Har Hafta 3</td> 			<td>Acquisition OR Reactivation</td> 			<td>Har Hafta 3</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Weekly Bundle New</td> 			<td>BOU Ramzan</td> 			<td>Bundle 01</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Handset Bundle</td> 			<td>BOU Bonanza</td> 			<td>Non recursive Data Bundle 2</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Nationwide Bundle</td> 			<td>DOU</td> 			<td>Bundle 02</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Hybrid Bundle 02</td> 			<td>Normal</td> 			<td>Bundle 03</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Loyalty Bundle 4</td> 			<td>-</td> 			<td>Loyalty Bundle 4</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Loyalty Bundle 5</td> 			<td>-</td> 			<td>Loyalty Bundle 5</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Bundles</td> 			<td>-</td> 			<td>Monthly Staggered Bundle *430#</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>3G Monthly Hybrid Bundle</td> 			<td>-</td> 			<td>GPRS Super Monthly Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Karachi Monthly LBC</td> 			<td>-</td> 			<td>All-in-One Monthly (Har Network Offer 2)</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Har Maheena Offer</td> 			<td>-</td> 			<td>GPRS 3 months Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>All-in-One Monthly (Har Network Offer 2)</td> 			<td>-</td> 			<td>Data BOU</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Sindh LBC</td> 			<td>-</td> 			<td>Nationwide Bundle 3 in 1</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>DBAB 100+</td> 			<td>-</td> 			<td>Khi Daily LBC Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Happy Hour May</td> 			<td>-</td> 			<td>Super Ghanta Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Super FNF</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>New Reactivation Alternate Tariff</td> 			<td>-</td> 			<td>Subscribed to BOU KHI Offer</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOU Ramazan</td> 			<td>-</td> 			<td>GPRS Mini</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>MST BOU</td> 			<td>-</td> 			<td>Acquisition OR Reactivation</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOU Bonanza Incentive</td> 			<td>-</td> 			<td>AJK LBC</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOU Cities Wise</td> 			<td>-</td> 			<td>BOU Ramazan</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Subscribed to BOU Karachi Offer</td> 			<td>-</td> 			<td>BOU Data</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOR Re 1 offer</td> 			<td>-</td> 			<td>3G Base Rate</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Step Charging Voice</td> 			<td>-</td> 			<td>Normal</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Lajawaab Offer</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Har Sec</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Happy Hour</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOU Ramazan</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOU Bonanza</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>FNF</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>DOU Incentive</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>DBAB</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOR 50</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>BOR 100</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Har 30 Sec</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Har Ghanta Offer</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>Acquisition OR Reactivation</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 		<tr> 			<td>DOU Accumulation</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 			<td>-</td> 		</tr> 	</tbody> </table> ",<p>test bundle</p> ,Rs.0.13
4,IDD Group 1 (5 Destinations),Reduced rates,30 Days,24 Hours,Yes,Yes,24 Hours,"Customer Care Center, Contact Centers and Franchise Centers","Customer Care Center, Contact Centers and Franchise Centers",Live,Dest-100 m-Initial -- PKR 100 m100 -- PKR 100 m400 -- PKR 100 m600 -- PKR 100 m900 -- PKR 100 5-Intl. Dest-50 m300 -- PKR 50 m999 -- PKR 50 m1500 -- PKR 50 mUnlimited (Basic+Premium) -- PKR 50 Business Package -- PKR 50,"<table border=""1"" cellspacing=""0""> 	<tbody> 		<tr> 			<td>IDD Destinations (per 60 sec): USA (L+M): PKR 0.89 Canada (L+M): PKR 0.89 Australia (L): PKR 1.39 China (L+M): PKR 1.39 Singapore (L+M): PKR 1.39</td> 		</tr> 	</tbody> </table>  <table border=""1"" cellspacing=""0""> 	<tbody> 		<tr> 			<td>Tariff Name | Applicable Package | Recurring Charges 5-Intl. Dest-100 m-Initial -- PKR 100 m100 -- PKR 100 m400 -- PKR 100 m600 -- PKR 100 m900 -- PKR 100 5-Intl. Dest-50 m300 -- PKR 50 m999 -- PKR 50 m1500 -- PKR 50 mUnlimited (Basic+Premium) -- PKR 50 Business Package -- PKR 50</td> 		</tr> 		<tr> 		</tr> 	</tbody> </table> ",Postpaid,Dest-100 m-Initial -- PKR 100 m100 -- PKR 100 m400 -- PKR 100 m600 -- PKR 100 m900 -- PKR 100 5-Intl. Dest-50 m300 -- PKR 50 m999 -- PKR 50 m1500 -- PKR 50 mUnlimited (Basic+Premium) -- PKR 50 Business Package -- PKR 50,"<table border=""1"" cellspacing=""0""> 	<tbody> 		<tr> 			<td>Tariff Name | Applicable Package | Recurring Charges 5-Intl. Dest-100 m-Initial -- PKR 100 m100 -- PKR 100 m400 -- PKR 100 m600 -- PKR 100 m900 -- PKR 100 5-Intl. Dest-50 m300 -- PKR 50 m999 -- PKR 50 m1500 -- PKR 50 mUnlimited (Basic+Premium) -- PKR 50 Business Package -- PKR 50</td> 		</tr> 		<tr> 		</tr> 	</tbody> </table>  <table border=""1"" cellspacing=""0""> 	<tbody> 		<tr> 			<td>IDD Destinations (per 60 sec): USA (L+M): PKR 0.89 Canada (L+M): PKR 0.89 Australia (L): PKR 1.39 China (L+M): PKR 1.39 Singapore (L+M): PKR 1.39</td> 		</tr> 	</tbody> </table> ","<ul> 	<li>The Products can be activated from Customer Care Center, Contact Centers and Franchise Centers.</li> 	<li>Both the products can be opted for simultaneously.</li> 	<li>Charges will be prorated based on the dates of subscription.</li> 	<li>The product will be on auto subscription after the first month.</li> 	<li>Charges for the product may vary depending on the customer&rsquo;s package as mentioned above.</li> 	<li>The products will not be given to customers who do not have ISD, they will have to get the ISD activated as per the existing process.</li> 	<li>M-Initial to M-900 packages can avail IDD Group1- 100 &amp; IDD Group2- 100 offers only. M-1500 to M-unlimited (Basic+Premium) can avail IDD Group1- 50 &amp; IDD Group2 - 50 offers only.</li> 	<li>Business subscribers can contact their CAMs to subscribe this service.</li> 	<li>The prices shown above are exclusive of taxes</li> </ul> ",NA
11,Daily Voice Bundle - Whitelisted,100 Jazz/Warid minutes,Same day midnight (12AM),24 hours,No,No,Same day midnight (12AM),N/A,N/A,*673*2#,N/A,<p>Pilot Launch:<br /> The offer is currently launched for 100K voice dormant users as a pilot for next 2 weeks (ending 22nd November). Detailed update will be released once we launch the offer commercially.</p>  <p>&bull;&nbsp;&nbsp; &nbsp;Eligibility: Voice users who didn&rsquo;t use voice calls in last calendar month</p> ,Prepaid,Rs.4 inclusive of tax,"<p>To encourage our customers to keep using Jazz as their preferred network for voice calls, we have launched a whitelisted offer for our voice dormant users. The whitelisted Daily Voice Bundle will offer 100 Jazz Warid minutes for Rs.4 inclusive of tax valid till 12AM midnight.</p>  <p>Pilot Launch:<br /> The offer is currently launched for 100K voice dormant users as a pilot for next 2 weeks (ending 22nd November). Detailed update will be released once we launch the offer commercially.</p>  <p>&bull;&nbsp;&nbsp; &nbsp;Eligibility: Voice users who didn&rsquo;t use voice calls in last calendar month</p> ",NULL,0.15
13,Lajawab Haftawar Offer - Mandi Bahauddin," 3000 Minutes (Jazz), 30 Minutes (Other Network) , 3GBs Data, 3000 SMS",7 days,24 hours,No,No,24 Hours,*565#,*565*4#,*565*2#,*565*3#,"<p>Offer can only be subscribed within the whitelisted area, however, posted incentives can also be utilized outside the whitelisted area (Nationwide)</p> ",Prepaid,Rs.130 (incl tax),"<p>&bull;&nbsp;&nbsp; &nbsp;Upon dialing *565#, customer will be subscribed to the Lajawab Haftawar Offer<br /> &bull;&nbsp;&nbsp; &nbsp;Bundle is non-recursive and multiple subscriptions are allowed<br /> &bull;&nbsp;&nbsp; &nbsp;In case of multiple subscriptions, previous incentive will be added and new validity will be applicable<br /> &bull;&nbsp;&nbsp; &nbsp;Customer will be charged as per respective base rate package in case bundle incentives have exhausted and customer is not subscribed to any other bundle.&nbsp;<br /> &bull;&nbsp;&nbsp; &nbsp;This is limited time offer, subject to change anytime<br /> &nbsp;</p> ",NULL,0
