POST_ID,Pack_Name,Type,ONNET_CALLS_BASERATE,ONNET_CALLS_TAX,Calls_Ptcl_BaseRate,Calls_Ptcl_Tax,Calls_FNF_BaseRate,Calls_FNF_Tax,OFFNET_CALLS_BASERATE,OFFNET_CALLS_TAX,OFFNET_CALLS_2NDPULSE,OFFNET_SMS_BASERATE,OFFNET_SMS_TAX,OFFNET_SMS_2NDPULSE,ONNET_SMS_BASERATE,ONNET_SMS_TAX,ONNET_SMS_2NDPULSE,Intl_SMS_BaseRate,Intl_SMS_Tax,Intl_SMS_2ndPulse,MMS_50KB,Data_MB,Incentives_Total_Min,Incentivces_Ptcl_Min,Incentives_Fnf_Min,Incentivces_OnNet_Min,Incentivces_OffNet_Min,Incentivces_2G3G_Min,SMS_LocalNet,SMS_Line_Rent,Security_Deposit_NWD,Security_Deposit_ISD,Security_Deposit_IR,NOTES,Remarks,FNF_Numbers,FNF_BaseRate,FNF_Tax,FNF_2ndPulse,CALLS_PULSE_R,SETUP_CALLS_CHARGES,GPRS_MB,DAILYCHARGES,IMPORTANT_P,USSD_String,Workcode,Offers,DataOffers,IDDOffers
13,M-400,Postpaid,Rs.2.2+tax/min,-,Rs.2.2+tax/min,-,Rs.0.75/min,Rs. 0.90/min,Rs.2.2+tax/min,-,NULL,Rs. 1.60/SMS,-,NULL,Rs. 0.75+tax/SMS,-,NULL,Rs 5,Rs. 5.98/sms,NULL,NULL,Rs.2+tax/MB,450,NULL,NULL,NULL,NULL,1.5 GB,-,Rs.25,Rs.1200,Rs. 1500,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid lightgrey; border-left:1px solid lightgrey; border-right:1px solid lightgrey; border-top:1px solid lightgrey; height:20px; text-align:left; vertical-align:top; white-space:normal; width:516px""><span style=""font-size:13px""><span style=""color:black""><span style=""font-family:&quot;Segoe UI&quot;,sans-serif"">M 400 - Base - Default - Activation</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""border-collapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid lightgrey; border-left:1px solid lightgrey; border-right:1px solid lightgrey; border-top:1px solid lightgrey; height:20px; text-align:left; vertical-align:top; white-space:normal; width:516px""><span style=""font-size:13px""><span style=""color:black""><span style=""font-family:&quot;Segoe UI&quot;,sans-serif"">M 400 - Base - Default - Information</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""border-collapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid lightgrey; border-left:1px solid lightgrey; border-right:1px solid lightgrey; border-top:1px solid lightgrey; height:20px; text-align:left; vertical-align:top; white-space:normal; width:516px""><span style=""font-size:13px""><span style=""color:black""><span style=""font-family:&quot;Segoe UI&quot;,sans-serif"">M 400 - Base - Default - Complaints - Incentive Issue</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""border-collapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid lightgrey; border-left:1px solid lightgrey; border-right:1px solid lightgrey; border-top:1px solid lightgrey; height:20px; text-align:left; vertical-align:top; white-space:normal; width:516px""><span style=""font-size:13px""><span style=""color:black""><span style=""font-family:&quot;Segoe UI&quot;,sans-serif"">M 400 - Base - Default - Complaints - General</span></span></span></td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
14,M-600,Postpaid,Rs. 1.50,1.79/min,Rs. 1.50,1.79/min,Rs. 0.75,0.90/min,Rs. 1.50,1.79/min,NULL,Rs. 1.50,-,NULL,Rs. 0.75,0.90/min,NULL,Rs. 5.00,Rs. 5.98/sms,NULL,NULL,Rs. 2,1000,NULL,400,300,300,1024 MB,300 SMS,Rs. 25,Rs. 1500,Rs. 1500,5000,"<table cellpadding=""5"" cellspacing=""5""> 	<tbody> 		<tr> 			<td>M600-Line Rent:Rs 600,Free FNF Min 400,Free OnNet min 300,Free OffNet min 300,Free Local SMS 300,Free data 1GB.Outgoing OnNet &amp; OffNet Rs.1.50/min, FNF Rs.0.75min and Rs0.75/SMS.Taxes Apply</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">M 600 - Base - Default - Activation</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">M 600 - Base - Default - Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
15,J-600,Postpaid,Rs.2.2/min + tax,-,Rs.2.2/min + tax,-,Rs.0.75,Rs. 0.90,Rs.2.2/min + tax,-,NULL,-,Rs. 0.90,NULL,Rs.0.75,Rs. 0.90,NULL,5.98/SMS,5.98/SMS,NULL,Rs.6,Rs.2,2300,na,na,2000,300,"3GBs+2GBs(Social,WA,FB)",2000 SMS,N/A,"1,500",1500,5000,"<p>On-Net minutes are useable for calls to Warid Network as well<br /> J-600 Price plan customers now have 2,000 SMS as package incentive<br /> Free minutes and FnF Min will not available during IR<br /> Packages are recursive in charging (monthly) and pro-ratable<br /> No CPP charges will be applied on these packages<br /> GPRS rates would be the Rs.18/MB with 64KB minimum charging unit<br /> Package is available to consumer catalogue only &amp; not business<br /> If an FnF number is changed or added, it will take effect from the next day. If a number is deleted or replaced, it will end on the same day at 23:59, as per current scenario for all existing packages<br /> An FnF number added or updated cannot be deleted again on the same day. Delete action can only work from the next day<br /> If an FnF number ports out, the FnF discount will no longer apply to calls made to it</p>  <p>&nbsp;</p>  <p><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><strong>Offer Mechanics:</strong></span></span></p>  <ul> 	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Applicable on all existing Consumer Postpaid subscribers [Jazz &amp; Warid], New SIM Sales, Pre to Post Conversions, and Port-Ins</span></span></li> 	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">All other mechanics of the Price-Plan remain the same</span></span></li> </ul> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<p><strong><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,sans-serif"">&nbsp;J 600 - Base - Default - Information</span></span></strong></p> ",NULL,NULL,NULL
16,M-100,Postpaid,Rs.2.2/min + tax,-,Rs.2.2/min + tax,-,Rs. 0.75,0.90/min,Rs.2.2/min + tax,-,NULL,1.91/sms,-,NULL,Rs. 0.75,0.90/sms,NULL,5.98/SMS,0.98,NULL,Rs.6,Rs.2,125,Na,Na,Na,Na,500 MBs,Rs. 1.60,25,1200,1200,5000,"<p>Package is not available for new subscriptions</p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid lightgrey; border-left:1px solid lightgrey; border-right:1px solid lightgrey; border-top:1px solid lightgrey; height:20px; text-align:left; vertical-align:top; white-space:normal; width:516px""><span style=""font-size:13px""><span style=""color:black""><span style=""font-family:&quot;Segoe UI&quot;,sans-serif"">M 100 - Base - Default - Activation</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""border-collapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid lightgrey; border-left:1px solid lightgrey; border-right:1px solid lightgrey; border-top:1px solid lightgrey; height:20px; text-align:left; vertical-align:top; white-space:normal; width:516px""><span style=""font-size:13px""><span style=""color:black""><span style=""font-family:&quot;Segoe UI&quot;,sans-serif"">M 100 - Base - Default - Information</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""border-collapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid lightgrey; border-left:1px solid lightgrey; border-right:1px solid lightgrey; border-top:1px solid lightgrey; height:20px; text-align:left; vertical-align:top; white-space:normal; width:516px""><span style=""font-size:13px""><span style=""color:black""><span style=""font-family:&quot;Segoe UI&quot;,sans-serif"">M 100 - Base - Default - Complaints - Incentive Issue</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""border-collapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid lightgrey; border-left:1px solid lightgrey; border-right:1px solid lightgrey; border-top:1px solid lightgrey; height:38px; text-align:left; vertical-align:top; white-space:normal; width:516px""><span style=""font-size:13px""><span style=""color:black""><span style=""font-family:&quot;Segoe UI&quot;,sans-serif"">M 100 - Base - Default - Complaints - Wrong/Over Charging</span></span></span></td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
17,J-999,Postpaid,Rs.2.2/min + tax,-,Rs.2.2/min + tax,-,Rs.0.75,0.90/min,Rs.2.2/min + tax,-,NULL,0.90/min,NA,NULL,Rs.0.75,0.90/min,NULL,Rs.5+tax,5.98,NULL,Rs.6,Rs.2+tax/MB,5500,NA,NA,5000,500,"5GB+5GBs (Social,WA,FB)",5000 SMS,NA,1500,1500,5000,"<ul> 	<li>On-Net minutes are useable for calls to Warid Network as well</li> 	<li>Difference in old M packages &amp; new J packages is unlimited on-net minutes, rest of the details are same</li> 	<li>Free minutes and FnF Min will not available during IR</li> 	<li>Packages are recursive in charging (monthly) and pro-ratable</li> 	<li>No CPP charges will be applied on these packages</li> 	<li>GPRS rates would be the Rs.2/MB with 64KB minimum charging unit</li> 	<li>Package is available to consumer catalogue only &amp; not business</li> 	<li>If an FnF number is changed or added, it will take effect from the next day. If a number is deleted or replaced, it will end on the same day at 23:59, as per current scenario for all existing packages</li> 	<li>An FnF number added or updated cannot be deleted again on the same day. Delete action can only work from the next day</li> 	<li>If an FnF number ports out, the FnF discount will no longer apply to calls made to it</li> 	<li>Tax on all postpaid packages are added on total amount</li> </ul> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:559px""> 	<tbody> 		<tr> 			<td>J 999 - Base - Default - Activation</td> 		</tr> 		<tr> 			<td>J 999 - Base - Default - Information</td> 		</tr> 		<tr> 			<td>J 999 - Base - Default - Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td>J 999 - Base - Default - Complaints - Wrong/Over Charging</td> 		</tr> 		<tr> 			<td>J 999 - Base - Default - Complaints - General</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
18,J-1500,Postpaid,Rs.2.2+tax/min,-,Rs.2.2+tax/min,-,Rs.0.75/min,0.90/min,Rs.2.2+tax/min,-,NULL,0.90/SMS,NA,NULL,Rs. 0.75,0.90/SMS,NULL,Rs. 5/ SMS,5.98,NULL,Rs.6,Rs.2+Tax,7500,NA,Na,"7,000 Minutes and SMS",500,"7GBs+7GBs (Social,WA ,FB)",7000 SMS,N/A,2500,2500,5000,"<p><strong>&bull;&nbsp;&nbsp; &nbsp;25% discount on line rent will be offered to new subs (Port In, Pre to Post, New Sale) for three months&nbsp;</strong><br /> &bull;&nbsp;&nbsp; &nbsp;Duration of promo is at discretion of Jazz and can be changed as required<br /> &bull;&nbsp;&nbsp; &nbsp;Offer is for individual customers only<br /> &bull;&nbsp;&nbsp; &nbsp;Standard taxes apply on rates shown above<br /> &bull;&nbsp;&nbsp; &nbsp;F&amp;F call rates apply for 3 FnF numbers only<br /> &bull;&nbsp;&nbsp; &nbsp;Sales via BVS, CYN and via favorites will be applicable for discount<br /> &bull;&nbsp;&nbsp; &nbsp;Conventional sale will not be applicable for discount&nbsp;<br /> &bull;&nbsp;&nbsp; &nbsp;Taxes will be apply as per provisional tax slabs</p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px""> 	<tbody> 		<tr> 			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">J 1500 - Base - Default - Complaints - Incentive Issue</span></span></span></td> 		</tr> 		<tr> 			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">J 1500 - Base - Default - Complaints - Wrong/Over Charging</span></span></span></td> 		</tr> 		<tr> 			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">J 1500 - Base - Default - Complaints - General</span></span></span></td> 		</tr> 		<tr> 			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">J 1500 - Base - Default - Activation</span></span></span></td> 		</tr> 		<tr> 			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">J 1500 - Base - Default - Information</span></span></span></td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
19,Ex Employee FNF,Postpaid,Rs. 0.75/Min,-,Rs 1.50/Min,-,Rs. 0.75/Min,-,Rs 1.50/Min,-,NULL,Rs 1.50/Min,Rs 1.50/Min,NULL,Rs 0.10/SMS,-,NULL,Rs. 5.00,Rs. 5.00,NULL,Rs. 6.50,25GB,Total 500 (On-Net + Off-Net),0,0,Total 500 (On-Net + Off-Net),Total 500 (On-Net + Off-Net),25GB,6000,0,0,0,5000,"<p>MPTY &amp; MCA will be charged as per standard rate i-e Rs 50 + Tax/Month<br /> All other VAS will be Charged as per Standard Charges</p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:653px""> 	<tbody> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Activation</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Information</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Complaints - Wrong/Over Charging</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Complaints - General</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
19,Ex Employee FNF,Postpaid,Rs. 0.75/Min,-,Rs 1.50/Min,-,Rs. 0.75/Min,-,Rs 1.50/Min,-,NULL,Rs 1.50/Min,Rs 1.50/Min,NULL,Rs 0.10/SMS,-,NULL,Rs. 5.00,Rs. 5.00,NULL,Rs. 6.50,25GB,Total 500 (On-Net + Off-Net),0,0,Total 500 (On-Net + Off-Net),Total 500 (On-Net + Off-Net),25GB,6000 SMS,0,0,0,5000,"<p>MPTY &amp; MCA will be charged as per standard rate i-e Rs 50 + Tax/Month<br /> All other VAS will be Charged as per Standard Charges</p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:653px""> 	<tbody> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Activation</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Information</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Complaints - Wrong/Over Charging</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF - Base - Default - Complaints - General</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
20,Dealer Package,Postpaid,Rs. 0.50+tax,Rs. 0.50+tax,1.25/Min,1.25/Min,Rs. 0.50+tax,Rs. 0.50+tax,1.25/Min,1.25/Min,NULL,Rs. 1.51+tax,Rs. 1.51+tax,NULL,0.10/SMS,0.10/SMS,NULL,0,0,NULL,Rs. 6.50+tax,50GB,0,0,0,0,0,50GB,6000,0,0,0,5000,"<p>Other Charges:<br /> MPTY = Rs 50/-,<br /> MCA = Rs 50 /-,<br /> MY Status= Rs 15/-,<br /> ICS = Rs 20 /-,<br /> Mobitunes= Rs 45/-<br /> 10GB/Rs 500 add on can be activated for exact 30 days<br /> Base rate is 0.1/MB<br /> Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM</p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<p>Postpaid Package/ Incentive Info</p> ",NULL,NULL,NULL
21,Official Special,Postpaid,Rs 0.5/Min,Rs 0.5/Min,Rs 1.25/Min,Rs 1.25/Min,Rs 0.5/Min,Rs 0.5/Min,Rs 1.25/Min,Rs 1.25/Min,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,Rs. 5.00,Rs. 5.00,NULL,Rs. 6.50,25GB,0,0,0,0,0,25GB,6000,0,0,0,5000,"<p>Package: Official Special On-net: 0.50/min Off-net:1.25/min SMS :6000 SMS free and then 0.1/SMS Data: 25GB<br /> Other Charges:<br /> 10GB/Rs 500 add on can be activated for exact 30 days<br /> Base rate is 0.1/MB<br /> MPTY = Rs 50/-,<br /> MCA = Rs 50 /-,<br /> MY Status= Rs 15/-,<br /> ICS = Rs 20 /-,<br /> Mobitunes= Rs 45/-<br /> Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM</p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official Special - Base - Default - Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
22,Official,Postpaid,Rs 0.04/Min,Rs 0.04/Min,Rs 0.75/Min,Rs 0.75/Min,Rs 0.04/Min,Rs 0.04/Min,Rs 0.75/Min,Rs 0.75/Min,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,0,0,NULL,Rs. 6.50,50GB,0,0,0,0,0,50GB,6000,0,0,0,5000,"<p>MPTY = Free,<br /> MCA = Free,<br /> MY Status= Rs 15/-,<br /> ICS = Rs 20 /-,<br /> Mobitunes= Rs 45/-<br /> Overage of PKR 0/ MB ( 512 KB pulse)</p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official - Base - Default - Activation</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official - Base - Default - Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
23,Employee,Postpaid,Rs. 0.75/Min,-,Rs 1.50/Min,-,Rs. 0.75/Min,-,Rs 1.50/Min,-,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,Rs 0.10/SMS,-,NULL,Rs. 3.00,-,NULL,0,25GB,0,0,0,0,0,25GB,6000,0,0,0,5000,"<p>- 10GB @Rs 500+tax Add-On can be activated for exact 30 days via JW / USSD *9872# /&nbsp;CRM</p>  <p>- Customer will be shifted to PAYG rate on auto once data incentive is consumed, hence, data will not be blocked</p>  <p>- Base rate is 0.1/MB<br /> - Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM<br /> - <strong>MPTY &amp; MCA are not FOC and will be charged as per standard rates</strong></p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:653px""> 	<tbody> 		<tr> 			<td>Employee - Base - Default - Activation</td> 		</tr> 		<tr> 			<td>Employee - Base - Default - Information</td> 		</tr> 		<tr> 			<td>Employee - Base - Default - Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td>Employee - Base - Default - Complaints - Wrong/Over Charging</td> 		</tr> 		<tr> 			<td>Employee - Base - Default - Complaints - General</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
24,Official for Testing,Postpaid,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,0,0,NULL,Rs 5+tax,25GB,0,0,0,0,0,25GB,6000,0,0,0,5000,"<p>MPTY &amp; MCA are FOC</p> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing - Base - Default - Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing - Base - Default - Complaints - Wrong/Over Charging</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing - Base - Default - Activation</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
25,Ex-Official Package (Ex-PMCL),Postpaid,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,Rs 0.10/SMS,Rs 0.10/SMS,NULL,Rs. 5.00,Rs. 5.00,NULL,Rs 5+tax,25GB,0,0,0,0,0,25GB,6000,0,1000,1000,5000,"<ul> 	<li>Base rate is 0.10/MB</li> 	<li>Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM</li> 	<li><strong>MCA &amp; MPTY will not be free and it will be charged as per standard rates</strong></li> 	<li>Other VAS and Invoice details will be charged (where applicable).</li> 	<li>Data blocking menu (Flash message) is not pushed to XPMCL subscribers on consumption of Free data.</li> 	<li>We need to guide ex-employees about data capping of 25GB and base rate of Rs.0.10/MB after free data consumption.Postpaid Package/ Incentive Info</li> 	<li>Ex PMCL package user gets all bolt on packages as normal postpaid customer can get</li> 	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""color:#1f497d"">Now<strong> minimum deposit of Rs 1,000 will be required for official to Ex PMCL package conversion</strong> and credit limit will be set as per deposit amount .</span></span></span></li> </ul> ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL - Base - Default - Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL - Base - Default - Activation</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL - Base - Default - Complaints - Wrong/Over Charging</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 	</tbody> </table> ",NULL,NULL,NULL
26,Retailer Package,Prepaid,Rs. 0.68+tax,Rs. 0.68+tax,NULL,NULL,NULL,NULL,Rs. 0.68+tax,Rs. 0.68+tax,Rs. 0.68+tax,Rs 1.5+tax,Rs 1.5+tax,Rs 1.5+tax,Rs 1.5+tax,Rs 1.5+tax,Rs 1.5+tax,Rs.10.00+tax,Rs.11.95,Rs. 5.00+tax,Rs. 6+tax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rs. 0.68+tax,Rs. 0.68+tax,Rs. 0.68+tax,Rs. 0.68+tax,60 sec,10 paisa + tax,Rs 18+tax,0,"<p>Rs. 3.69/hour will be charged on On-net numbers from 12 AM - 9 AM<br /> Prepaid Package Info</p> ",0,"<p>Prepaid Package Info</p> ",NULL,NULL,NULL
